"QKEY","F_GENDER","JOKE1_W74","CANCUL1_W74"
236237,2,1,2
236265,2,1,1
236370,2,1,2
237091,2,1,2
237367,1,1,1
238002,2,2,2
238030,1,1,1
238140,1,2,2
238619,2,1,2
238840,2,2,1
239009,2,1,1
239268,2,2,1
239382,2,2,1
239985,2,2,2
240975,2,1,1
241537,2,1,1
243060,1,2,2
243238,2,1,1
243528,1,1,1
244331,1,2,1
244539,2,99,2
244937,1,1,2
245863,2,2,2
246537,2,2,1
247938,2,1,2
248990,2,1,1
248996,2,2,2
274112,1,2,2
274171,1,2,2
274495,1,2,2
274630,1,2,2
274797,1,2,1
274825,1,2,2
275824,1,1,2
276645,2,2,2
277314,2,2,1
278114,2,1,1
278702,2,2,2
279292,2,1,2
279766,2,1,1
279894,2,1,1
280034,1,1,1
280651,2,2,1
280823,1,1,1
280916,1,2,2
281163,2,2,2
281338,1,2,2
281718,1,2,2
281929,2,1,1
281944,2,1,2
281969,1,2,2
282091,2,2,1
282245,1,1,1
282337,1,1,1
282372,2,1,1
282430,1,1,1
282770,2,2,1
283820,1,2,1
283850,2,1,1
283898,1,1,1
283988,1,2,1
284304,2,1,1
284378,1,2,2
285174,1,2,2
285556,1,2,1
285723,2,1,1
285944,2,1,1
285953,1,2,2
286082,2,2,2
286168,1,2,1
286663,2,1,1
287086,2,2,2
287097,1,1,1
287191,2,2,2
287463,2,1,1
288489,1,2,2
288802,2,2,1
288869,1,2,1
289200,2,1,1
289390,1,1,1
289477,2,2,1
289868,2,1,2
290087,1,2,2
291033,1,1,1
291097,1,2,1
291347,1,1,1
291504,2,1,1
291673,2,1,1
291696,1,1,1
292724,1,2,1
292740,1,2,1
292849,1,2,2
292854,1,2,2
292971,1,2,1
293111,2,1,1
293203,2,1,1
294309,1,1,1
294717,1,2,1
295064,1,2,2
295593,2,1,1
295709,1,1,1
295809,1,2,2
295841,1,1,2
295961,2,2,2
296062,1,2,1
296159,2,1,2
296543,2,1,1
296850,1,2,2
296984,1,1,1
297473,2,2,2
297554,2,2,2
297972,2,1,1
298035,1,2,2
298053,2,1,2
298382,2,1,1
298722,1,1,2
299167,1,1,1
299327,2,2,2
299517,1,99,1
299519,1,2,2
299715,1,2,1
300207,2,2,1
300234,2,2,1
300603,1,2,1
300619,1,2,1
300660,2,2,2
300669,2,99,1
300761,1,2,2
300955,2,2,1
301013,2,2,2
301082,2,1,1
301126,1,2,1
301613,2,1,1
301706,1,2,2
302362,2,1,2
302389,2,2,1
302888,1,2,2
303072,1,99,1
303338,2,1,1
303648,1,2,1
304119,1,2,2
304871,2,1,1
305076,2,1,1
305844,2,2,1
306109,2,1,1
306115,2,1,1
306151,2,2,1
306192,1,2,2
306597,1,1,2
307284,2,2,2
307317,1,1,1
307537,1,2,2
307606,2,1,1
307688,1,1,2
307718,1,2,2
307885,2,2,2
308926,1,2,2
309053,1,1,1
309533,1,2,2
309958,2,2,2
310031,1,1,2
310104,2,1,1
311119,1,2,2
311643,2,1,2
311665,2,1,1
312217,1,1,1
312362,1,1,1
312371,2,1,1
313378,1,1,1
314062,1,2,2
314113,2,2,2
314294,2,2,2
314546,1,2,2
314796,1,1,2
314835,2,1,1
315155,2,1,1
315188,2,2,1
315194,1,1,2
315474,2,1,2
315539,1,1,1
315670,1,1,1
316726,2,1,1
317442,1,1,1
317781,2,2,2
318188,1,2,2
318333,1,1,1
318357,1,1,1
318542,1,2,2
318653,1,1,2
318658,2,1,1
318711,2,2,2
318997,1,1,1
319055,2,1,1
319198,1,1,1
319382,2,1,2
319402,2,2,2
319896,2,2,2
320679,2,2,1
320721,2,2,2
320909,1,1,1
321025,2,1,2
321582,2,1,1
321697,2,2,2
321860,1,1,2
321873,1,2,2
322035,2,2,1
322241,1,2,2
322897,1,1,1
322957,2,2,2
323222,1,1,1
323454,1,2,1
323456,1,2,2
323595,2,1,1
323647,1,1,2
323743,1,2,2
323770,1,2,2
324600,2,1,1
324808,2,1,1
324919,1,2,2
324920,1,2,1
325708,2,1,1
326698,2,2,2
326974,2,1,2
327074,2,1,1
327079,1,1,2
327082,2,1,1
327538,1,1,1
328024,1,2,1
328603,2,1,1
328696,2,2,1
329336,2,2,2
329404,1,2,1
329545,2,2,2
329699,1,1,1
329777,1,2,1
329841,1,2,2
329922,1,2,2
330324,1,2,1
330965,2,1,1
331115,1,1,1
332823,2,2,2
333056,2,1,1
333245,2,2,1
333286,2,1,1
333397,1,1,2
333476,1,1,1
334486,1,1,2
335417,2,1,2
335826,2,1,1
335943,2,1,1
336285,1,1,1
336843,2,1,1
337437,2,2,2
337758,1,2,2
337912,2,2,2
338874,2,1,2
339176,1,1,1
339183,2,2,1
339511,1,1,1
339573,2,2,2
340705,2,1,1
340808,2,1,1
341538,1,1,1
341801,2,1,1
342227,1,1,2
342298,1,2,2
344794,1,1,1
345438,1,1,1
347425,2,1,2
348665,2,2,2
351329,2,1,1
600059,1,2,2
600087,1,2,2
600116,1,1,1
600204,1,2,1
600304,1,2,2
600312,2,2,1
600325,2,1,1
600689,1,2,2
600775,1,1,1
600794,1,2,2
600822,2,1,1
600848,1,2,1
600905,2,2,1
601158,2,1,2
601359,1,2,1
601394,1,2,2
601493,1,2,2
601648,1,2,2
601754,1,2,2
602360,2,2,2
602366,1,2,1
602455,1,2,2
602725,2,2,1
602921,1,1,1
603000,1,1,1
603100,2,2,1
603239,1,1,2
603410,2,1,1
603460,1,2,2
603473,1,1,1
603590,1,2,2
603607,2,1,1
603636,1,1,1
603718,1,1,1
603769,1,2,2
604068,2,1,1
604188,2,1,1
604312,2,2,1
604534,2,1,1
604550,1,2,2
604718,2,1,2
604753,1,2,1
604931,1,1,1
605493,2,1,1
605785,2,2,2
605983,1,1,1
606041,2,1,1
606171,2,1,1
606681,1,1,1
606761,1,2,2
606764,1,2,2
606777,2,1,1
606790,2,1,1
606972,2,2,1
607008,2,2,2
607034,1,2,1
607123,1,2,2
607173,1,1,1
607371,2,2,1
607419,1,1,1
607425,1,2,1
607772,2,1,1
608020,1,1,1
608090,2,1,1
608170,2,1,1
608423,1,1,1
608491,2,1,1
608766,1,2,2
608938,1,2,2
608960,2,1,1
608988,1,1,1
609379,2,2,2
609423,2,2,1
609483,2,1,2
609695,2,2,1
610035,1,2,1
610190,2,2,2
610209,2,1,1
610217,1,2,2
610281,1,2,2
610307,1,1,1
610579,2,1,1
610582,2,1,1
610791,2,1,2
610814,2,1,2
610816,2,1,1
611089,1,1,1
611152,2,2,2
611382,1,2,2
611618,2,2,2
612265,2,1,1
612280,2,1,1
612332,1,2,1
612401,2,1,1
612461,2,1,1
612650,2,1,2
613070,1,2,2
613169,2,1,1
613194,1,2,2
613225,2,1,2
613269,2,2,1
613271,1,2,2
613373,2,1,1
613751,2,99,1
613760,2,2,1
613816,1,2,1
613892,2,2,2
613898,2,2,1
613986,2,2,1
614200,2,2,1
614264,1,1,1
614281,1,2,2
614417,1,1,2
614506,1,2,2
614833,2,1,1
614875,1,2,2
614885,1,1,1
614926,1,2,2
614974,2,2,1
615074,2,1,1
615140,1,1,1
615441,1,2,2
615641,2,1,2
615859,1,1,2
615908,1,2,2
616019,2,1,1
616040,1,1,1
616088,1,2,1
616240,1,2,1
616524,1,1,1
616589,1,2,1
616855,1,1,2
616985,2,1,1
617159,2,2,2
617222,2,2,1
617352,2,1,1
617371,1,1,1
617462,2,1,1
617716,1,2,2
617761,1,1,1
617792,2,1,2
617799,2,1,1
617915,1,2,2
617960,1,2,2
618253,1,1,1
618581,1,1,2
618612,2,1,1
618613,2,1,2
619157,1,2,2
619228,1,1,2
619330,1,2,2
619716,2,1,2
619741,2,2,2
619874,2,1,1
620279,1,99,2
620571,1,2,2
620588,1,2,2
620937,2,1,1
621140,1,2,2
621474,2,2,2
621821,2,2,2
621834,2,1,1
622063,2,2,1
622293,1,1,1
622345,1,1,1
622422,2,2,1
622469,2,1,1
622762,2,2,2
622765,2,1,2
622962,1,2,1
622978,2,1,2
623183,2,1,2
623239,1,2,1
623304,1,2,2
623624,1,2,2
623703,1,2,2
623716,1,1,2
623757,1,2,2
623771,1,2,1
624476,2,1,1
624621,1,1,1
624681,1,2,1
624754,2,1,1
625088,2,2,1
625237,1,2,2
625291,2,1,2
625357,1,1,1
625455,1,2,2
625560,1,2,2
625640,1,2,2
625927,2,2,1
625940,1,1,1
626046,1,1,1
626152,1,1,1
626283,2,2,1
626287,2,1,2
626293,1,1,1
626422,2,1,1
626763,2,2,1
626916,1,1,2
626973,1,1,2
627004,1,1,1
627171,2,2,2
627600,1,2,2
627791,1,1,2
627838,1,2,2
627878,1,2,2
627941,1,2,2
627963,2,2,1
628033,1,2,2
628347,2,1,1
628366,1,2,2
628412,2,1,1
628867,1,1,2
629018,2,1,1
629131,2,1,1
629168,1,1,2
629305,2,2,1
629967,2,1,2
630082,1,1,1
630181,2,1,1
630481,2,1,1
630595,1,2,1
630622,2,1,1
630736,2,2,1
630914,1,2,2
631050,1,2,2
631559,1,1,1
631689,2,2,1
632112,1,1,2
632232,1,2,1
632259,2,1,1
632744,1,2,1
632751,1,1,1
632956,2,1,1
633030,2,1,1
633032,2,2,2
633508,1,2,2
633721,1,1,2
633723,1,1,1
634161,2,2,1
634738,2,1,1
634854,2,2,1
635065,2,2,2
635131,2,1,2
635481,1,2,2
635489,1,1,1
635736,2,1,1
635959,2,1,1
636473,1,1,2
636675,2,2,1
637024,1,1,1
637156,1,2,2
637228,1,1,2
637384,2,2,1
637566,2,1,1
637694,2,1,1
637832,1,1,2
638075,2,1,2
638201,2,2,2
638376,2,2,2
638677,1,2,2
638767,1,2,1
639116,1,1,2
639274,1,2,1
639392,1,1,1
639687,2,1,1
640059,1,2,1
640394,2,2,1
640648,1,2,2
641038,2,2,1
641779,1,2,1
641879,1,2,1
642208,1,2,2
642225,1,1,1
642247,2,2,1
642484,2,2,1
642550,1,1,1
642576,2,2,2
642590,2,2,1
643848,2,2,1
644372,2,1,1
644484,1,1,1
644602,1,1,2
644610,1,1,1
644744,2,1,2
644779,1,2,2
644809,1,1,1
644876,1,1,1
645020,1,1,2
645149,2,1,1
645211,1,1,1
645663,1,2,2
645732,1,1,2
645900,1,1,1
645909,2,2,2
645972,1,2,2
646163,1,2,2
646386,1,1,2
646542,2,2,1
646764,1,1,1
646801,2,1,1
646823,1,1,1
647894,2,1,1
648143,2,2,1
648148,1,1,1
648758,1,2,2
648896,1,1,1
648957,2,1,1
649027,2,1,1
649038,1,2,2
649120,2,2,1
649196,1,1,1
649301,2,1,1
649446,1,1,2
649614,1,2,2
649847,1,1,2
649965,1,1,1
650249,2,1,1
650620,2,1,1
650786,1,1,1
650852,1,2,2
651047,1,2,2
651102,2,2,2
651204,1,1,1
651381,2,2,2
651396,2,2,1
651421,1,2,2
651437,2,2,2
651541,1,2,2
651578,1,1,2
651585,2,1,1
651697,2,1,1
651945,1,2,1
652059,2,1,2
652173,1,1,1
652624,2,1,1
652882,1,2,1
653158,1,2,1
653320,1,2,2
653382,2,2,2
653393,2,2,2
653764,1,1,2
653972,1,2,1
654147,1,1,1
654339,2,2,1
654498,2,1,1
654956,1,2,2
655049,2,1,1
655088,1,2,2
655262,1,2,1
655386,1,2,2
655741,1,2,2
655794,2,1,1
655814,2,1,1
655988,1,1,1
656308,1,2,1
656310,2,2,2
656538,1,2,2
656829,1,2,2
656857,2,1,1
656890,1,2,2
656906,1,1,1
656909,1,1,2
656995,2,1,2
657003,1,1,1
657074,1,2,1
657176,2,1,1
657234,1,1,1
657458,1,1,1
657694,1,1,1
657763,1,1,1
657776,2,1,1
657786,2,2,1
657883,2,2,1
658382,1,2,2
658476,2,2,2
658634,1,1,1
658641,2,1,1
658651,1,1,1
659049,1,1,1
659057,1,1,2
659101,1,1,1
659269,1,1,1
659273,1,1,1
659397,1,2,2
659421,1,1,1
659497,1,99,2
659504,2,2,2
659563,1,1,1
659651,1,2,2
659735,2,2,1
659809,2,2,1
659832,2,1,2
660177,2,2,2
660390,1,2,1
660532,1,2,2
660646,1,1,1
661080,2,2,1
661138,1,2,1
661214,1,1,1
661439,2,1,1
661671,2,2,1
661674,2,1,1
661771,2,1,1
661792,1,2,1
661805,1,1,1
661819,1,2,2
661824,2,2,2
662031,1,1,2
662041,1,1,1
662141,1,2,2
662256,2,1,2
662536,2,1,1
662810,1,1,1
662862,2,1,1
662893,2,2,2
663239,2,1,1
663701,1,1,1
663767,2,1,2
663768,2,1,1
663796,1,2,1
664031,1,2,2
664057,1,2,2
664090,2,1,1
664150,1,2,1
664380,1,1,2
664419,2,2,2
664445,2,1,1
664528,1,1,1
664715,2,1,1
664736,1,2,2
664790,1,2,1
664850,1,2,2
664925,2,2,1
664996,2,1,1
665303,2,2,1
665309,2,2,2
665456,2,1,1
665516,2,2,2
665800,2,2,1
665856,2,1,1
665861,1,2,2
665914,1,2,2
665982,2,99,1
666052,1,2,2
666122,2,1,1
666213,1,1,1
666431,1,2,2
666547,1,2,2
666898,1,2,1
666952,1,2,1
667336,1,1,2
667611,1,2,2
667828,1,1,2
667940,1,1,1
668003,1,2,2
668019,1,2,1
668132,1,2,1
668249,1,2,1
668325,2,1,1
668643,1,2,2
669003,1,1,1
669330,2,2,2
669732,2,1,1
669822,2,1,1
669995,1,2,2
670275,2,2,2
670311,1,2,2
670667,2,1,2
670803,2,1,1
670964,2,2,2
671013,1,2,1
671357,1,1,1
671577,2,1,1
671590,2,2,1
671621,2,1,1
671622,2,2,1
671791,1,1,1
671949,1,2,1
672012,1,1,1
672243,1,1,2
672507,1,2,2
672516,1,2,2
672559,1,2,2
672767,1,1,1
672902,2,1,2
673054,2,2,2
673061,1,2,2
673353,2,2,2
673466,1,2,2
673492,2,1,1
673537,2,1,1
673589,1,2,1
673644,1,2,2
673692,1,2,1
673801,2,1,1
673810,1,1,1
673888,1,2,1
674011,2,2,1
674200,1,1,2
674251,2,1,1
674254,2,1,1
674255,1,1,2
674682,1,1,1
674819,1,1,2
674960,2,2,1
674977,1,2,1
675008,1,1,1
675077,1,1,1
675179,2,1,1
675257,1,1,2
675411,1,1,1
675544,1,1,1
675879,2,1,1
675885,1,1,1
675916,1,1,1
676269,1,2,1
676382,2,2,2
676669,1,2,2
676839,2,2,1
677397,1,2,1
677470,2,2,2
677479,1,2,2
677501,2,1,1
677513,1,2,2
677553,2,1,2
677779,1,2,1
678122,2,2,2
678275,2,1,1
678383,2,2,2
678458,1,1,1
678783,2,2,2
678932,2,1,2
679074,1,1,1
679176,1,2,1
679496,1,1,2
680168,1,2,2
680275,1,1,1
680458,2,2,1
680547,2,1,1
680766,1,2,2
681922,1,2,2
681950,2,1,1
682072,2,1,2
682769,1,1,1
682887,1,2,1
682893,2,1,1
683394,1,99,1
683423,1,1,1
683546,1,2,2
683965,2,1,2
684102,2,1,1
684107,1,1,1
684116,1,1,1
684297,2,2,2
684312,2,2,1
684569,2,1,1
684598,2,1,1
684707,2,2,2
684747,1,1,1
684842,2,1,1
684897,1,2,2
684974,1,1,1
685156,2,2,1
685341,2,2,2
685422,2,1,1
685572,2,1,1
685702,1,2,1
685770,1,2,2
685807,2,1,1
685831,2,1,1
685844,1,2,2
686190,2,1,1
686406,2,1,2
686429,1,2,2
686595,1,2,2
686694,1,2,2
686774,1,1,1
686900,1,1,1
686909,1,2,2
687177,1,2,2
687210,2,1,1
687461,2,1,1
687497,2,1,1
687555,2,2,1
687565,1,1,1
687904,1,2,2
687927,1,1,1
688280,1,1,2
688439,1,1,2
688489,1,1,1
688518,2,2,2
688563,2,2,2
688663,2,2,1
688843,1,1,2
688926,1,1,1
689043,2,1,1
689074,2,1,2
689447,2,2,1
689751,1,1,1
690065,1,2,2
690094,2,1,1
690122,1,2,1
690323,2,2,2
690385,2,2,1
690413,1,2,2
690567,2,2,1
690640,1,1,1
690653,1,1,1
690715,1,2,2
690834,1,1,2
690848,1,1,1
690993,2,1,1
691042,1,2,2
691043,2,1,1
691122,2,1,1
691480,1,1,2
691647,2,2,2
691995,1,2,1
692016,2,2,1
692221,2,2,1
692383,2,2,2
692394,1,2,2
692468,2,2,2
692527,2,1,1
692606,1,2,2
692611,2,2,1
692848,1,2,1
692964,1,1,1
692984,2,1,1
693522,1,1,1
693525,1,1,1
693563,1,2,2
694220,1,2,2
694418,2,2,1
694528,2,1,1
694680,2,1,1
694740,2,1,2
694769,2,1,1
694952,1,1,1
695017,1,2,2
695046,1,1,1
695229,1,1,1
695256,1,1,1
695649,2,2,1
695685,2,1,2
695742,1,1,1
695859,2,1,1
695958,2,2,1
696037,1,2,2
696056,2,2,1
696310,1,1,1
696334,1,1,2
696477,2,1,1
696563,2,1,1
696770,1,2,2
697091,1,2,2
697424,2,1,1
697516,2,2,2
697525,2,1,1
697527,2,1,1
697580,2,1,1
697595,2,1,1
697609,1,1,1
697622,2,2,1
697647,2,2,2
697868,2,1,1
697870,1,1,1
698025,1,1,2
698078,1,1,1
698363,1,1,1
698957,1,2,2
698988,2,1,1
699014,1,2,2
699085,2,2,1
699266,1,2,2
699458,1,2,2
699640,2,2,1
699679,1,2,2
699682,2,1,1
699716,1,2,1
699982,1,2,1
700248,1,2,2
700475,1,2,1
700827,1,2,2
701067,1,1,1
701069,2,1,1
701140,1,1,2
701173,2,1,1
701734,1,1,1
701811,2,2,2
701820,2,2,1
701994,2,1,1
702321,1,2,1
702342,1,2,2
702398,1,1,1
702650,1,2,1
702737,1,2,1
702872,1,2,2
702891,2,2,2
702902,2,2,2
703033,2,2,1
703189,2,2,1
703526,2,1,1
703590,2,2,2
703867,2,1,1
703882,1,1,1
704216,2,2,2
704602,1,2,2
704654,1,1,1
704965,2,2,2
705033,2,2,2
705066,2,2,2
705069,1,2,1
705449,2,1,1
705453,2,1,1
705522,1,1,1
705738,2,1,1
705775,1,2,2
705843,1,1,1
706103,1,1,1
706169,2,2,2
706220,1,1,1
706347,1,2,2
706656,1,2,2
706680,1,1,1
706958,1,2,2
706967,1,1,2
706977,2,1,1
707466,2,1,1
707610,2,2,1
707619,1,2,2
707685,2,2,1
707768,1,2,2
707850,2,1,1
707861,1,1,1
707980,2,1,1
707994,1,1,1
708084,2,1,1
708179,2,2,2
708383,1,1,1
708688,1,2,2
708734,2,1,1
708867,2,1,1
708901,2,1,1
708956,1,2,2
709277,1,2,2
709312,2,1,1
709593,1,2,2
709604,2,1,2
709677,2,1,2
709781,2,1,1
710053,2,2,2
710173,2,1,1
710257,1,2,2
710450,1,1,1
710468,2,2,1
710746,2,2,2
710762,1,2,2
710918,1,2,2
710929,2,1,1
710952,1,2,2
710957,1,1,2
711028,2,1,1
711192,2,2,1
711370,2,2,1
711429,1,2,2
711503,2,2,2
711527,1,1,2
711936,2,2,1
712090,2,1,1
712301,2,1,1
712312,2,2,2
712906,1,1,1
712917,2,2,1
712939,2,2,1
712988,2,2,2
713049,2,1,1
713150,2,2,2
713242,1,1,2
713534,2,2,1
714086,2,1,1
714116,1,2,1
714196,1,2,2
714240,2,2,1
714266,1,1,1
714617,2,2,1
714715,1,2,2
714848,1,1,1
715110,1,2,2
715237,1,1,2
715250,2,2,2
715393,2,99,2
715486,2,2,2
715537,1,2,2
715655,1,1,1
715934,1,1,1
716158,2,2,1
716243,2,1,2
716244,2,1,1
716383,1,1,1
716386,2,1,1
716558,2,2,2
716589,2,1,1
716854,2,1,1
717297,2,1,2
718173,1,2,2
718195,1,2,2
718279,1,2,1
718594,1,1,1
718607,1,2,2
718655,1,2,2
718806,2,2,2
719124,1,2,2
719526,2,1,1
719645,2,1,2
719810,1,2,2
719892,1,1,1
720374,2,1,2
720429,1,1,2
720440,1,2,2
