"qkey","education","division","ideology","gender","race","cancul1","crimsent","weight_w92"
141878,"Some College","West North Central","Conservative","Woman","White","Accountable","Too little time",0.539515331006714
142398,"Postgraduate","Middle Atlantic","Liberal","Woman","White","Accountable","Too much time",0.299779679086429
143915,"High School Graduate","Middle Atlantic","Conservative","Man","White","Punish","Too much time",1.26732908180374
144036,"Some College","West South Central","Very Conservative","Woman","White","Punish","About the right amount",0.293637880665304
144429,"Postgraduate","East North Central","Conservative","Woman","White","Punish","Too little time",0.411546780222979
144736,"Postgraduate","New England","Liberal","Woman","White","Accountable","Too much time",0.342141799848566
145364,"High School Graduate","Middle Atlantic","Conservative","Man","White","Punish","About the right amount",2.29612662880485
145887,"College graduate","Pacific","Moderate","Woman","White","Accountable","Too little time",1.07645548865776
146170,"Some College","Pacific","Conservative","Man","White","Accountable","About the right amount",0.433073091177446
146434,"Less Than High School","West South Central","Conservative","Woman","White","Accountable","Too much time",1.07524396531165
146784,"Some College","Pacific","Very Conservative","Man","Hispanic","Punish","Too little time",0.34335368395467
147121,"High School Graduate","South Atlantic","Moderate","Woman","White","Accountable","Too little time",0.55262848436642
147701,"College graduate","Middle Atlantic","Moderate","Man","White","Punish","About the right amount",0.272652292787798
149866,"High School Graduate","New England","Conservative","Woman","White","Punish",NA,1.34246548357792
150197,"Some College","East North Central","Very Conservative","Man","White","Punish","Too little time",0.351009435123747
151130,"Postgraduate","South Atlantic","Moderate","Woman","Black","Accountable",NA,0.770536699625047
151929,"Postgraduate","Middle Atlantic","Conservative","Man","White","Accountable","Too little time",0.24753306378137
153346,"Postgraduate","Mountain","Conservative","Man","Black","Punish","About the right amount",0.30431537229606
153863,"Some College","West North Central","Conservative","Woman","Black","Accountable","About the right amount",0.931848396114331
154578,"High School Graduate","Pacific","Moderate","Woman","Hispanic","Accountable","Too little time",0.749380582379788
154750,"College graduate","East North Central","Conservative","Woman","White","Punish","Too little time",0.435339876935954
154874,"Some College","Pacific","Conservative","Woman","White","Accountable","Too little time",0.30517179798074
154948,"Postgraduate","South Atlantic","Liberal","Woman","White","Punish","About the right amount",0.429509707069171
155464,"High School Graduate","Pacific","Liberal","Woman","White","Accountable","Too little time",4.55266346363892
155606,"College graduate","South Atlantic","Conservative","Man","White","Accountable","About the right amount",0.25550960748309
155832,"College graduate","South Atlantic","Very Conservative","Woman","White","Punish","Too little time",0.427084696863021
156233,"Postgraduate","Middle Atlantic","Conservative","Woman","Other","Punish","About the right amount",0.577610768142941
156660,"Postgraduate","Pacific","Moderate","Man","White","Accountable","Too much time",0.540989531569624
157348,"Postgraduate","Middle Atlantic","Moderate","Woman","White","Punish","About the right amount",0.313334132575412
157570,"Some College","Pacific","Moderate","Woman","White",NA,"About the right amount",0.416724175519679
158193,"Postgraduate","Pacific","Liberal","Woman","White","Accountable","About the right amount",0.240515106841664
159562,"College graduate","East South Central","Conservative","Man","White","Punish","Too little time",0.273427906460843
159828,"Some College","South Atlantic","Very Conservative","Woman","White","Punish","Too little time",0.299677358996688
159997,"Postgraduate","Pacific","Conservative","Man","White","Accountable","About the right amount",0.304499268871908
160170,"Some College","West North Central","Moderate","Man","White","Punish","Too little time",0.434755739576983
160193,"Some College","East North Central","Conservative","Man","White","Accountable","About the right amount",0.429264741372903
161130,"Associate's Degree","West South Central","Conservative","Woman","White","Accountable","Too little time",0.494706591089554
161820,"College graduate","East South Central","Moderate","Woman","White","Accountable","Too little time",1.29576425851614
162119,"College graduate","East North Central","Very Conservative","Woman","White","Punish","Too little time",0.514152948356683
162517,"Postgraduate","Middle Atlantic","Very Liberal","Man","White","Accountable","About the right amount",0.312220646534265
164425,"Less Than High School","East North Central","Conservative","Man","White","Accountable","Too little time",0.853682463717089
165171,"Postgraduate","Middle Atlantic","Moderate","Man","White","Punish","Too little time",0.648319451505515
165452,"NA","South Atlantic","Liberal","Woman","Black","Accountable","About the right amount",2.38427397420735
166301,"Some College","Middle Atlantic","Very Liberal","Man","White","Accountable","Too much time",0.418958688507021
167094,"College graduate","West North Central","Conservative","Woman","White","Punish","About the right amount",0.472911758220693
169135,"Postgraduate","South Atlantic","Conservative","Woman","White","Accountable","Too little time",0.52669154677874
169249,"Some College","Mountain","Moderate","Woman","White","Accountable","About the right amount",1.06752237609221
169864,"College graduate","Pacific","Conservative","Man","White","Punish","Too little time",0.346574269901761
170940,"Some College","East South Central","Very Conservative","Woman","White","Punish","About the right amount",0.43231062679122
171076,"College graduate","Pacific","Moderate","Man","White","Accountable","About the right amount",0.40052678436785
171264,"Associate's Degree","East South Central","Moderate","Man","Black","Accountable","Too much time",0.731022821630842
172231,"College graduate","West South Central","Very Conservative","Woman","White","Accountable","About the right amount",0.301315187129843
174032,"High School Graduate","West South Central","Conservative","Man","White","Punish","About the right amount",1.03000298353939
175192,"Associate's Degree","West South Central","Very Conservative","Man","White","Punish","About the right amount",0.426081016252738
175363,"College graduate","Middle Atlantic","Conservative","Man","Other","Accountable","About the right amount",0.254671736998433
175884,"College graduate","Mountain","Very Liberal","Man","White","Accountable","Too much time",0.23631757056909
176214,"Some College","South Atlantic","Moderate","Woman","White","Accountable","Too much time",0.566789947898075
176308,"High School Graduate","East North Central","Conservative","Woman","White","Accountable","Too little time",0.651394367067485
176680,"Some College","East North Central","Conservative","Woman","White","Punish","About the right amount",0.374299386881107
176824,"Some College","South Atlantic","Conservative","Man","White","Accountable","About the right amount",0.505770767702892
176890,"Postgraduate","South Atlantic","Moderate","Man","White","Accountable","Too little time",0.320116243065233
176940,"Some College","South Atlantic","Moderate","Woman","White","Accountable","Too little time",0.581203311564031
177572,"College graduate","West North Central","Moderate","Woman","White","Accountable","Too little time",0.343261241372201
178470,"Associate's Degree","East South Central","Liberal","Woman","Black","Accountable","Too much time",0.638540918453555
179691,"Associate's Degree","East North Central","Moderate","Man","White","Punish","About the right amount",0.273640482451874
179979,"High School Graduate","West North Central","Conservative","Woman","White","Punish","Too much time",1.2830737392247
180286,"College graduate","West South Central","Very Conservative","Man","White","Punish","Too little time",0.339549610800161
181067,"Associate's Degree","East North Central","Moderate","Man","White","Accountable","Too little time",0.737374413210778
181573,"Less Than High School","Pacific","Conservative","Woman","White","Accountable","About the right amount",0.829901574574464
183145,"Some College","South Atlantic","Conservative","Woman","White","Accountable","About the right amount",0.440742782797478
184045,"College graduate","South Atlantic","Liberal","Woman","White","Accountable","About the right amount",0.428521430450917
184735,"Postgraduate","South Atlantic","Moderate","Woman","Asian","Accountable","About the right amount",0.450265450071859
184778,"Some College","West North Central","Conservative","Man","Other","Punish","About the right amount",0.669215524694764
185394,"College graduate","East North Central","Very Liberal","Man","Asian","Accountable","About the right amount",0.374937209006189
185435,"Associate's Degree","Mountain","Very Conservative","Man","White","Punish","About the right amount",0.583884708999426
185944,"High School Graduate","South Atlantic","Liberal","Woman","Refused","Accountable","About the right amount",1.58247838629361
186170,"Associate's Degree","East North Central","Conservative","Man","White","Accountable","Too little time",0.422465071683611
186444,"Some College","South Atlantic","Moderate","Woman","White","Punish","Too little time",0.421002167629631
186902,"Some College","East North Central","Moderate","Man","White","Accountable","About the right amount",0.247286259092306
186980,"College graduate","Pacific","Moderate","Woman","White","Accountable","Too much time",0.778855950199028
187312,"High School Graduate","Middle Atlantic","Liberal","Woman","White","Accountable","About the right amount",1.04937734075337
188109,"College graduate","East North Central","Very Liberal","Man","Black","Accountable","Too much time",0.376084621080721
188245,"High School Graduate","South Atlantic","Moderate","Woman","White","Accountable","Too little time",0.739308670567623
188340,"Postgraduate","South Atlantic","Conservative","Man","White","Accountable","About the right amount",0.244992638862731
188516,"Some College","South Atlantic","Conservative","Woman","White","Punish","About the right amount",0.389296133904184
190780,"Some College","East North Central","Liberal","Woman","Other","Accountable","Too little time",0.256030150993122
190961,"High School Graduate","Middle Atlantic","Conservative","Woman","White","Accountable","Too little time",0.796332371629795
191063,"Some College","West South Central","Moderate","Woman","White","Accountable","Too little time",0.505742346102193
191081,"Some College","West North Central","Moderate","Man","White","Punish","Too much time",0.475288585274665
191336,"High School Graduate","Middle Atlantic","Liberal","Man","White","Accountable","About the right amount",1.25093723786643
192213,"Postgraduate","South Atlantic","Conservative","Man","White","Punish","Too little time",0.254980397114556
192396,"Associate's Degree","Pacific","Very Conservative","Woman","White","Accountable","Too little time",0.306912668900785
192474,"Associate's Degree","East North Central","Conservative","Woman","White","Punish","Too much time",0.368088300018204
192568,"College graduate","East South Central","Moderate","Man","White","Punish","About the right amount",0.267098049673662
192753,"College graduate","East North Central","Conservative","Woman","White","Punish","Too much time",0.320324058499705
192798,"High School Graduate","East North Central","Conservative","Man","White","Punish","About the right amount",0.977932703449008
192950,"College graduate","Mountain","Conservative","Man","White",NA,"About the right amount",0.218235104655257
193408,"Postgraduate","South Atlantic","Conservative","Man","White","Punish","Too little time",0.370414596441935
194284,"College graduate","South Atlantic","Very Conservative","Man","White","Punish","About the right amount",0.211470846523517
194634,"Less Than High School","South Atlantic","Conservative","Woman","White","Punish","Too little time",0.39623063627571
194718,"Some College","South Atlantic","Very Conservative","Woman","White","Punish","Too little time",0.323263202281182
195349,"Some College","Mountain","Moderate","Man","White","Punish","Too little time",0.581538007280289
195373,"Some College","Pacific","Moderate","Man","White","Punish","Too little time",0.427797199011448
195400,"College graduate","Pacific","Conservative","Man","Asian","Punish","Too little time",0.740701878931143
196107,"Some College","East North Central","Conservative","Woman","White",NA,"Too little time",0.401232364766894
196610,"Postgraduate","Middle Atlantic","Moderate","Woman","Asian","Accountable","Too much time",0.514317703166443
196813,"Some College","East North Central","Liberal","Woman","White","Accountable","Too little time",0.441761621060356
197067,"High School Graduate","West North Central","Conservative","Man","White","Accountable","Too little time",1.02885984263828
197087,"High School Graduate","East North Central","Moderate","Man","White","Punish","Too little time",0.849469447582841
197174,"High School Graduate","Pacific","Very Conservative","Woman","White","Punish","Too little time",0.735136215127387
197397,"High School Graduate","West North Central","Conservative","Man","White","Accountable","Too little time",0.857794794715541
198176,"Associate's Degree","Middle Atlantic","Liberal","Woman","White","Accountable","Too much time",0.588981195643431
198205,"High School Graduate","East North Central","Conservative","Man","White","Punish","About the right amount",1.33074130879714
198295,"Postgraduate","West North Central","Liberal","Man","White","Punish","About the right amount",0.252357050102361
198321,"Associate's Degree","West North Central","Moderate","Man","White","Punish","About the right amount",0.658593890186833
198449,"Postgraduate","Middle Atlantic","Liberal","Man","White","Accountable","Too much time",0.194813673802652
198476,"College graduate","East North Central","Liberal","Woman","White","Punish","Too much time",1.48750886188523
198848,"Postgraduate","West South Central","Conservative","Man","White","Punish","Too little time",0.336334661857965
198946,"Postgraduate","Mountain","Conservative","Woman","White","Accountable","Too little time",1.02390175812205
199474,"Associate's Degree","West South Central","Conservative","Man","White","Punish","About the right amount",0.388344916312418
199510,"Postgraduate","East North Central","Very Conservative","Man","White","Punish","Too little time",0.351219162316571
199964,"Some College","South Atlantic","Very Conservative","Woman","White","Punish","About the right amount",0.303551159453687
200312,"Some College","South Atlantic","Conservative","Man","Other","Punish","Too little time",0.243217133184001
200761,"College graduate","Pacific","Liberal","Man","White","Punish","About the right amount",0.305769404877106
200943,"College graduate","South Atlantic","Moderate","Man","White","Accountable","About the right amount",0.246063033736013
201095,"College graduate","Pacific","Moderate","Man","Hispanic","Punish","Too little time",0.370829287496125
201153,"Associate's Degree","South Atlantic","Moderate","Woman","Black","Accountable","Too much time",1.09657173363139
201177,"Some College","Middle Atlantic","Conservative","Man","White","Accountable","About the right amount",0.212808097795708
201541,"Associate's Degree","East North Central","Conservative","Man","White",NA,"Too little time",0.469844176127208
202145,"Postgraduate","Middle Atlantic","Liberal","Man","White","Accountable","Too much time",0.814474208405201
202467,"College graduate","West North Central","Conservative","Woman","White","Punish","About the right amount",0.332416723175837
202545,"Postgraduate","Mountain","Very Conservative","Man","White","Punish","Too little time",0.250286288023086
202548,"Postgraduate","Mountain","Moderate","Woman","White","Accountable",NA,0.378557637753794
202800,"College graduate","West North Central","Moderate","Man","White","Accountable","Too much time",0.217216440595471
202849,"Postgraduate","Mountain","Very Liberal","Man","White","Punish","Too much time",0.765281369825244
203617,"Postgraduate","New England","Moderate","Woman","White","Accountable","Too much time",0.391442998011386
203921,"High School Graduate","South Atlantic","Moderate","Woman","White","Accountable","Too little time",0.796545883723079
204164,"Some College","Middle Atlantic","Moderate","Man","Hispanic","Punish","Too little time",0.650954038066727
204329,"Postgraduate","West South Central","Liberal","Woman","White",NA,"About the right amount",0.808911570695576
204354,"College graduate","Pacific","Moderate","Man","White","Punish","About the right amount",0.186025099203324
204536,"Some College","South Atlantic","Very Conservative","Woman","White","Accountable","Too little time",0.897065274085352
204601,"College graduate","West North Central","Liberal","Woman","White","Punish","About the right amount",0.362921413736825
204832,"High School Graduate","South Atlantic","Conservative","Woman","White","Punish","Too little time",1.02609330735788
205459,"High School Graduate","East South Central","Conservative","Woman","White","Punish","Too little time",0.516998870371697
205490,"High School Graduate","East South Central","Moderate","Woman","Black","Punish","Too much time",0.437969117194369
206457,"Some College","Pacific","Moderate","Man","Refused","Punish","Too little time",0.625825614403477
207436,"Some College","New England","Liberal","Woman","White","Punish","Too little time",0.670818348161137
207452,"Some College","East South Central","Conservative","Woman","White","Punish","About the right amount",0.486510874854393
207502,"College graduate","South Atlantic","Moderate","Woman","Black","Punish","About the right amount",2.41932975032681
207573,"Some College","West South Central","Conservative","Man","White","Punish","Too little time",0.309897344269114
208237,"College graduate","Mountain","Moderate","Refused to Answer","White","Accountable","About the right amount",0.67948746931189
209250,"College graduate","South Atlantic",NA,"Woman","Black","Accountable","Too much time",0.421535472309462
209589,"College graduate","South Atlantic","Moderate","Man","White","Accountable","Too little time",0.327143588245156
210108,"Postgraduate","New England","Liberal","Woman","White","Accountable","About the right amount",0.288290254429441
210743,"College graduate","South Atlantic","Liberal","Woman","Hispanic","Accountable","Too little time",0.413981320660734
211074,"Associate's Degree","East North Central","Conservative","Man","White","Punish","Too little time",0.433751393260822
211504,"College graduate","East North Central","Conservative","Man","White","Accountable","Too little time",0.24312555948685
211788,"Postgraduate","West North Central","Very Liberal","Woman","White","Accountable","Too much time",0.367510237765477
212131,"College graduate","West South Central","Conservative","Man","Other","Punish","Too little time",0.242139466883852
212322,"College graduate","Middle Atlantic","Conservative","Man","White","Accountable","About the right amount",0.498417662358511
212492,"Some College","Pacific","Moderate","Man","White","Accountable","Too little time",0.439493408859662
212680,"Some College","East North Central","Moderate","Man","Hispanic","Punish","About the right amount",0.186523012368768
213541,"High School Graduate","South Atlantic","Conservative","Woman","White","Punish","About the right amount",0.670002082815471
214437,"Postgraduate","West North Central","Conservative","Man","White","Accountable","Too little time",0.263662589221493
214495,"Postgraduate","West North Central","Liberal","Woman","White","Punish","About the right amount",0.532738049116021
214562,"College graduate","Middle Atlantic","Moderate","Man","White","Accountable","Too much time",0.377080334099657
214778,"College graduate","West North Central","Very Conservative","Woman","White","Accountable","About the right amount",0.285134787181544
215767,"Some College","Pacific","Moderate","Woman","White","Punish","About the right amount",0.86345628447807
217429,"College graduate","Middle Atlantic","Conservative","Woman","White","Accountable","Too little time",0.560424114988058
217659,"Associate's Degree","East North Central","Moderate","Woman","Black","Accountable","Too much time",0.543523339034855
218205,"Postgraduate","New England","Liberal","Woman","Refused","Accountable","Too much time",0.58412369804874
218656,"College graduate","East North Central","Conservative","Woman","White","Accountable","About the right amount",0.357317694960728
218719,"Postgraduate","West South Central","Very Liberal","Man","White",NA,"Too much time",0.336636589619939
218837,"Postgraduate","East North Central","Very Liberal","Woman","White","Accountable","Too much time",0.224417074170762
219150,"College graduate","East North Central","Conservative","Man","White","Punish","Too little time",0.195038264102903
219306,"College graduate","West North Central","Conservative","Woman","White","Punish","Too little time",0.51818453912919
221448,"Postgraduate","South Atlantic","Conservative","Man","White","Punish","Too much time",0.235139271287743
223061,"Less Than High School","East North Central","Very Conservative","Woman","White","Accountable","Too much time",0.627404270529999
223257,"Postgraduate","Pacific","Moderate","Man","Asian","Accountable","About the right amount",1.65294440848456
223496,"Some College","West North Central","Conservative","Man","White","Accountable","Too little time",0.68374562486693
224561,"High School Graduate","East North Central","Conservative","Woman","Black","Accountable","Too much time",1.73250024374638
225476,"Postgraduate","Middle Atlantic","Conservative","Woman","White","Accountable","Too little time",0.52765704736718
225532,"Associate's Degree","Middle Atlantic","Very Liberal","Man","White","Accountable","Too much time",0.679316001671755
225546,"College graduate","South Atlantic","Very Liberal","Man","White","Accountable","About the right amount",0.35143983109063
226237,"College graduate","Mountain","Very Liberal","Woman","White","Accountable","Too much time",0.323099710186465
227099,"College graduate","East North Central","Conservative","Man","White","Punish","Too little time",0.225598751804147
227278,"Associate's Degree","Middle Atlantic","Very Conservative","Man","White","Punish","Too little time",0.45156295971563
227892,"Postgraduate","East North Central","Very Conservative","Woman","White","Punish","Too little time",0.232715409386674
228400,"Postgraduate","Pacific","Very Conservative","Refused to Answer","Other","Punish","About the right amount",0.133632854418727
228761,"High School Graduate","East North Central","Very Conservative","Man","White","Accountable","Too little time",1.11046193351622
228797,"High School Graduate","Middle Atlantic","Conservative","Woman","White","Punish","Too little time",0.657879952817911
229561,"College graduate","Pacific","Conservative","Woman","White","Punish","About the right amount",0.331343235562009
230027,"High School Graduate","Middle Atlantic","Moderate","Woman","White","Accountable","About the right amount",0.873400817232425
230098,"Postgraduate","West North Central","Moderate","Woman","White","Accountable","Too much time",0.27755811471193
230587,"High School Graduate","South Atlantic","Moderate","Man","White","Accountable","Too much time",4.99399274568228
230613,"Associate's Degree","West South Central","Conservative","Woman","White","Punish","Too little time",0.564253151504859
